Car Model,Repair Action,Price Estimation
Audi A3,Ölwechsel,405.84
Audi A3,Bremsbelagwechsel,335.21
Audi A3,Reifenrotation,191.48
Audi A3,Zündkerzenwechsel,136.3
Audi A3,Luftfilterwechsel,324.97
Audi A3,Radausrichtung,246.95
Audi A3,Batteriewechsel,202.68
Audi A3,Getriebeölwechsel,460.97
Audi A3,Motorabstimmung,351.25
Audi A3,Bremsscheibenwechsel,153.09
Audi A3,Kühlmittelaustausch,75.29
Audi A3,Zahnriemenwechsel,479.16
Audi A3,Fahrwerkstuning,212.5
Audi A3,Kupplungsaustausch,287.66
Audi A3,Kraftstoffsystemreinigung,414.62
Audi A3,Achsenreparatur,191.71
Audi A3,Elektronikdiagnose,102.49
Audi A3,Klimaanlagenwartung,309.8
Audi A3,Getriebereparatur,376.35
Audi A3,Steuerkettentausch,86.79
Audi A4,Ölwechsel,70.28
Audi A4,Bremsbelagwechsel,453.98
Audi A4,Reifenrotation,94.93
Audi A4,Zündkerzenwechsel,103.99
Audi A4,Luftfilterwechsel,167.07
Audi A4,Radausrichtung,328.74
Audi A4,Batteriewechsel,480.04
Audi A4,Getriebeölwechsel,68.86
Audi A4,Motorabstimmung,361.99
Audi A4,Bremsscheibenwechsel,317.75
Audi A4,Kühlmittelaustausch,152.76
Audi A4,Zahnriemenwechsel,421.5
Audi A4,Fahrwerkstuning,388.05
Audi A4,Kupplungsaustausch,417.68
Audi A4,Kraftstoffsystemreinigung,160.46
Audi A4,Achsenreparatur,192.77
Audi A4,Elektronikdiagnose,182.15
Audi A4,Klimaanlagenwartung,219.25
Audi A4,Getriebereparatur,208.76
Audi A4,Steuerkettentausch,311.75
Audi A6,Ölwechsel,207.45
Audi A6,Bremsbelagwechsel,141.43
Audi A6,Reifenrotation,77.72
Audi A6,Zündkerzenwechsel,307.68
Audi A6,Luftfilterwechsel,334.38
Audi A6,Radausrichtung,87.13
Audi A6,Batteriewechsel,396.6
Audi A6,Getriebeölwechsel,188.53
Audi A6,Motorabstimmung,306.69
Audi A6,Bremsscheibenwechsel,120.3
Audi A6,Kühlmittelaustausch,273.5
Audi A6,Zahnriemenwechsel,222.91
Audi A6,Fahrwerkstuning,317.15
Audi A6,Kupplungsaustausch,184.37
Audi A6,Kraftstoffsystemreinigung,183.47
Audi A6,Achsenreparatur,278.08
Audi A6,Elektronikdiagnose,288.08
Audi A6,Klimaanlagenwartung,158.29
Audi A6,Getriebereparatur,102.72
Audi A6,Steuerkettentausch,212.29
Audi Q3,Ölwechsel,225.19
Audi Q3,Bremsbelagwechsel,204.59
Audi Q3,Reifenrotation,315.18
Audi Q3,Zündkerzenwechsel,237.2
Audi Q3,Luftfilterwechsel,436.01
Audi Q3,Radausrichtung,164.07
Audi Q3,Batteriewechsel,362.96
Audi Q3,Getriebeölwechsel,293.42
Audi Q3,Motorabstimmung,109.42
Audi Q3,Bremsscheibenwechsel,379.51
Audi Q3,Kühlmittelaustausch,495.89
Audi Q3,Zahnriemenwechsel,460.42
Audi Q3,Fahrwerkstuning,217.08
Audi Q3,Kupplungsaustausch,360.79
Audi Q3,Kraftstoffsystemreinigung,499.83
Audi Q3,Achsenreparatur,354.79
Audi Q3,Elektronikdiagnose,477.37
Audi Q3,Klimaanlagenwartung,126.44
Audi Q3,Getriebereparatur,354.17
